yj21b,yj6.2,yj10.2,yj13.2,yj1.1.1,yj72.18a
28.0,40.0,6330.202118818826,20000.0,3.0,1.0
28.0,40.0,13796.703919574366,30000.0,1.0,3.0
38.0,40.0,15000.0,50000.0,2.0,2.0
28.0,48.0,1501.1109598010712,28000.0,3.0,3.0
42.0,40.0,8693.84865112437,17000.0,1.0,3.0
28.0,40.0,13907.03870857696,30000.0,1.0,2.0
20.0,48.0,1058.0831453950461,60000.0,1.0,3.0
37.0,40.0,3150.377833493638,29563.577590559995,3.0,2.0
21.0,40.0,5094.381772017374,30000.0,3.0,2.0
24.0,40.0,10673.670794997457,24000.0,2.0,2.0
14.0,40.0,10310.53779082622,35000.0,2.0,3.0
21.0,40.0,13784.529559185432,30000.0,2.0,2.0
28.0,44.0,20000.0,30800.0,2.0,2.0
30.0,40.0,13666.586026691999,40000.0,3.0,2.0
35.0,40.0,7924.7583877430525,34927.51625532699,2.0,3.0
28.0,40.0,8043.7265344255275,20000.0,2.0,3.0
28.0,40.0,8405.80670826074,12500.0,1.0,2.0
32.0,40.0,1461.00715414651,35000.0,1.0,3.0
28.0,28.0,4849.359972660557,10500.0,2.0,3.0
30.0,40.0,2048.8179540567007,34600.0,1.0,3.0
48.0,40.0,3758.2751127751167,10000.0,3.0,1.0
27.0,48.0,11483.317510418588,25000.0,3.0,2.0
21.0,40.0,11134.449849668366,27000.0,2.0,2.0
32.0,40.0,4226.449506084215,25000.0,2.0,3.0
46.0,35.0,6011.788613195411,25000.0,2.0,2.0
36.0,30.0,3453.8750853836195,12000.0,2.0,2.0
24.0,40.0,10745.331073873002,30000.0,4.0,2.0
50.0,35.0,5817.9631940743575,60000.0,3.0,3.0
28.0,40.0,2855.750297331038,25000.0,2.0,3.0
30.0,40.0,2508.8155087655277,30000.0,2.0,2.0
27.0,40.0,2268.0569913892377,20000.0,4.0,2.0
35.0,60.0,10012.901918828973,50000.0,2.0,2.0
40.0,42.0,9719.213956986252,25000.0,2.0,3.0
14.0,42.0,682.3061882131656,30000.0,2.0,1.0
25.0,40.0,10965.309269749176,25000.0,2.0,2.0
25.0,40.0,5247.361792802262,15000.0,2.0,2.0
36.0,48.0,1000.0,15000.0,1.0,3.0
28.0,40.0,7560.001824369497,30000.0,3.0,2.0
49.0,40.0,4214.888721506141,11000.0,2.0,2.0
